Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,
23.07973366,0.249328804,-0.189819481,-0.631409173,,23.08
23.14153545,0.241089051,-0.181579728,-0.623169421,,23.15
23.20349632,0.243835635,-0.162658816,-0.617981429,,23.21
23.26676541,0.219421554,-0.1654054,-0.61248826,,23.27
23.32867335,0.241089051,-0.168151984,-0.625916005,,23.33
23.3915239,0.230407891,-0.17608656,-0.617981429,,23.4
23.45355244,0.238342467,-0.181579728,-0.639648926,,23.46
23.51581928,0.235901059,-0.189819481,-0.61248826,,23.52
23.58070256,0.235901059,-0.17608656,-0.625916005,,23.59
23.64077117,0.235901059,-0.178833144,-0.620728013,,23.65
23.70354122,0.246582219,-0.173339976,-0.623169421,,23.71
23.76553448,0.238342467,-0.178833144,-0.620728013,,23.77
23.82767783,0.241089051,-0.173339976,-0.625916005,,23.83
23.89103833,0.243835635,-0.170593392,-0.636902341,,23.9
23.95255788,0.254821972,-0.173339976,-0.634155757,,23.96
24.01660921,0.235901059,-0.178833144,-0.623169421,,24.02
24.07978882,0.238342467,-0.173339976,-0.625916005,,24.08
24.13953415,0.235901059,-0.17608656,-0.625916005,,24.14
24.20354442,0.224914722,-0.173339976,-0.628662589,,24.21
24.26561466,0.246582219,-0.168151984,-0.634155757,,24.27
24.32769162,0.241089051,-0.159912231,-0.615234844,,24.33
24.39097836,0.233154475,-0.168151984,-0.609741676,,24.4
24.45162202,0.227661307,-0.168151984,-0.625916005,,24.46
24.5149158,0.227661307,-0.170593392,-0.617981429,,24.52
24.57661047,0.235901059,-0.1654054,-0.625916005,,24.58
24.64006783,0.230407891,-0.181579728,-0.620728013,,24.65
24.70159059,0.249328804,-0.17608656,-0.623169421,,24.71
24.76356332,0.238342467,-0.173339976,-0.639648926,,24.77
24.82695813,0.235901059,-0.168151984,-0.625916005,,24.83
24.89108451,0.241089051,-0.170593392,-0.628662589,,24.9
24.95174197,0.241089051,-0.168151984,-0.625916005,,24.96
25.01589497,0.241089051,-0.170593392,-0.615234844,,25.02
25.07563933,0.241089051,-0.181579728,-0.625916005,,25.08
25.14059349,0.241089051,-0.173339976,-0.617981429,,25.15
25.20281093,0.249328804,-0.173339976,-0.617981429,,25.21
25.26376153,0.235901059,-0.17608656,-0.631409173,,25.27
25.32570091,0.235901059,-0.184326313,-0.615234844,,25.33
