Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
18.71234759,0.203247225,-0.21667497,-0.606995092,,18.72
18.77353103,0.222168138,-0.214233562,-0.604248508,,18.78
18.83660448,0.224914722,-0.219421554,-0.609741676,,18.84
18.98495751,0.21667497,-0.211486978,-0.61248826,,18.99
19.02358427,0.21667497,-0.219421554,-0.596313932,,19.03
19.08564264,0.227661307,-0.214233562,-0.609741676,,19.09
19.15063945,0.211486978,-0.21667497,-0.615234844,,19.16
19.21161218,0.219421554,-0.222168138,-0.601501924,,19.22
19.27358652,0.203247225,-0.208740394,-0.609741676,,19.28
19.33754772,0.227661307,-0.214233562,-0.599060516,,19.34
19.39871416,0.219421554,-0.21667497,-0.599060516,,19.4
19.46068401,0.21667497,-0.203247225,-0.604248508,,19.47
19.52361281,0.208740394,-0.224914722,-0.604248508,,19.53
19.58624495,0.230407891,-0.20599381,-0.590820763,,19.59
19.64814392,0.227661307,-0.211486978,-0.61248826,,19.65
19.70964455,0.224914722,-0.211486978,-0.599060516,,19.71
19.77462277,0.208740394,-0.21667497,-0.609741676,,19.78
19.83632193,0.224914722,-0.222168138,-0.606995092,,19.84
19.8985724,0.227661307,-0.214233562,-0.599060516,,19.9
19.96060543,0.214233562,-0.208740394,-0.606995092,,19.97
20.02172857,0.211486978,-0.222168138,-0.593567347,,20.03
20.08678312,0.219421554,-0.219421554,-0.606995092,,20.09
20.14761184,0.21667497,-0.214233562,-0.61248826,,20.15
20.20960157,0.211486978,-0.211486978,-0.606995092,,20.21
20.27179079,0.214233562,-0.219421554,-0.604248508,,20.28
20.333726,0.227661307,-0.222168138,-0.606995092,,20.34
20.3987039,0.233154475,-0.21667497,-0.604248508,,20.4
20.45858809,0.222168138,-0.214233562,-0.609741676,,20.46
20.52359004,0.233154475,-0.211486978,-0.601501924,,20.53
20.58486874,0.219421554,-0.230407891,-0.604248508,,20.59
20.6456131,0.214233562,-0.21667497,-0.599060516,,20.65
20.70860349,0.208740394,-0.227661307,-0.601501924,,20.71
20.77082061,0.21667497,-0.21667497,-0.601501924,,20.78
20.83374236,0.222168138,-0.21667497,-0.601501924,,20.84
20.89562946,0.211486978,-0.211486978,-0.606995092,,20.9
20.95780521,0.21667497,-0.211486978,-0.593567347,,20.96
21.02069617,0.230407891,-0.219421554,-0.601501924,,21.03
21.08364005,0.219421554,-0.214233562,-0.599060516,,21.09
21.14561824,0.224914722,-0.224914722,-0.599060516,,21.15
21.20864518,0.21667497,-0.211486978,-0.604248508,,21.21
21.27174846,0.21667497,-0.21667497,-0.606995092,,21.28
21.33275935,0.211486978,-0.224914722,-0.601501924,,21.34
21.39652427,0.224914722,-0.21667497,-0.634155757,,21.4
21.45870323,0.224914722,-0.21667497,-0.601501924,,21.46
21.52066282,0.219421554,-0.219421554,-0.604248508,,21.53
21.58214837,0.219421554,-0.214233562,-0.606995092,,21.59
21.64586776,0.230407891,-0.219421554,-0.601501924,,21.65
21.70677794,0.214233562,-0.21667497,-0.609741676,,21.71
21.77083793,0.214233562,-0.224914722,-0.609741676,,21.78
21.83172662,0.214233562,-0.214233562,-0.609741676,,21.84
